"","ID","Coef_PTL_PPROMvsControl","P_PTL_PPROMvsControl","Q_PTL_PPROMvsControl","ID","Coef_PTL_PPROMvsControl","P_PTL_PPROMvsControl","Q_PTL_PPROMvsControl"
"nbb.19","VEGF",-0.650984804356631,1.6237766259491e-09,4.54657455265749e-08,"VEGF",-0.615121044844923,2.50417886220212e-09,7.01170081416593e-08
"nbb.24","MIP1b",0.976129058592105,1.05459667885682e-06,1.47643535039955e-05,"MIP1b",1.04874285556172,4.19199836811045e-08,3.91253181023642e-07
"nbb.23","MIP1a",0.927712643393274,4.42503828519812e-06,4.13003573285158e-05,"MIP1a",1.0761615117717,2.90176056111119e-08,3.91253181023642e-07
"nbb.7","IL6",0.857559234692131,7.78243861741703e-06,5.44770703219192e-05,"IL6",0.925880300116515,4.80621728941223e-07,3.36435210258856e-06
"nbb.4","IL1b",0.636331876410708,5.86245579247932e-05,0.000328297524378842,"IL1b",0.744824589109239,1.07754939834814e-06,6.03427663074956e-06
"nbb.22","MCP1",0.407556886907394,0.000358336706594852,0.00167223796410931,"MCP1",0.435972796766362,6.51538298835348e-05,0.000260615319534139
"nbb","IFNg",0.445162303065768,0.00276992023626442,0.00998709426222051,"IFNg",0.581103508888756,4.74134516771864e-05,0.000221262774493537
"nbb.13","IL16",0.582014842629103,0.00291201211057734,0.00998709426222051,"IL16",0.663547336757333,0.000392069225459393,0.0011041838283669
"nbb.6","IL4",0.381038965706977,0.00321013744142802,0.00998709426222051,"IL4",0.464538844984698,0.000172149449294407,0.000602523072530424
"nbb.20","IL8.1",0.316217622019883,0.00919888560861837,0.0257568797041314,"IL8.1",0.413555505867385,0.000394351367273894,0.0011041838283669
"nbb.1","IL10",0.270780313560995,0.0123596826832839,0.0314610104665408,"IL10",0.330444355598768,0.00143326034983334,0.00364829907230304
"nbb.14","IL17A",0.3841093873788,0.0238860842328377,0.0551552738867114,"IL17A",0.506409237915396,0.00193015453275089,0.00415725591669423
"nbb.5","IL2",0.219846423365945,0.0260913416319452,0.0551552738867114,"IL2",0.29396190373071,0.00192170524660936,0.00415725591669423
"nbb.26","bDefensin2",-0.425229833764592,0.0275776369433557,0.0551552738867114,"bDefensin2",-0.38511210511315,0.0373651497867094,0.0581235663348813
"nbb.9","TNFa",0.303713707938264,0.0318895773675962,0.0595272110861797,"TNFa",0.406996829605161,0.00275517435211585,0.00551034870423171
"nbb.11","IL12_IL23p40",0.352242762312068,0.0471881216408134,0.0825792128714235,"IL12_IL23p40",0.424774133375352,0.0122252985011455,0.0213942723770046
"nbb.2","IL12p70",0.261446275042236,0.0656933670134223,0.108200839786813,"IL12p70",0.357682556689101,0.00843114618970072,0.015738139554108
"nbb.12","IL15",0.34624228132815,0.0759896981235944,0.118206197081147,"IL15",0.414553623391187,0.0260755375371996,0.042947944178917
"nbb.17","IL7",0.259682939297793,0.152530144768002,0.224781265973898,"IL7",0.319489710697929,0.0662184094602175,0.0927057732443045
"nbb.16","IL5",-0.198548641970379,0.17366966460768,0.243137530450751,"IL5",-0.213170970181594,0.124097148014259,0.151074788886924
"nbb.8","IL8",0.105903634167705,0.219695422852012,0.29292723046935,"IL8",0.166941022116427,0.04395981318717,0.064782882591619
"nbb.10","GMCSF",0.142496776558605,0.278848373475238,0.347392980125579,"GMCSF",0.221136577960088,0.0777340973236803,0.103101555823805
"nbb.3","IL13",0.108972653721022,0.285358519388869,0.347392980125579,"IL13",0.17037223380725,0.0810083652901325,0.103101555823805
"nbb.25","TARC",0.10999359372031,0.337318657981557,0.393538434311817,"TARC",0.140719351859065,0.198249587902042,0.231291185885716
"nbb.15","IL1a",-0.106037991133838,0.365954021694124,0.409868504297419,"IL1a",-0.0563789727862016,0.613378172520826,0.660561108868581
"nbb.18","TNFb",0.0960578678464851,0.54605207667823,0.588056082576555,"TNFb",0.186758252069365,0.218158459316543,0.244337474434528
"nbb.21","IP10",-0.0590530624359168,0.657047680310636,0.681382779581401,"IP10",0.00246676358728953,0.984524752277463,0.984524752277463
"nbb.27","SLPI",0.0424014162752048,0.768753730041257,0.768753730041257,"SLPI",0.0419883979055797,0.76021154894221,0.788367532236366
